# z [m], Vert Contrast, Horz Contrast, Vert Period [m], Horz Period [m]
0.009, 0.029380351, 0.040254039, 1.4983476e-06, 1.4962162e-06
0.017, 0.0082515011, 0.0091957444, 1.4983476e-06, 1.4962162e-06
0.025, 0.036743291, 0.04618451, 1.4983476e-06, 1.4983476e-06
0.033, 0.0075191709, 0.0097085255, 1.4983476e-06, 1.4983476e-06
0.041, 0.03247121, 0.042992487, 1.4983476e-06, 1.4983476e-06
0.049, 0.018616886, 0.024185115, 1.4983476e-06, 1.4983476e-06
0.057, 0.022213562, 0.030521674, 1.4983476e-06, 1.4983476e-06
0.065, 0.026603292, 0.037463074, 1.4983476e-06, 1.4983476e-06
0.073, 0.011863121, 0.015781512, 1.500485e-06, 1.4983476e-06
0.081, 0.030168978, 0.039130519, 1.500485e-06, 1.500485e-06
0.089, 0.0072949757, 0.0079992911, 1.500485e-06, 1.500485e-06
0.097, 0.03284697, 0.044131757, 1.500485e-06, 1.500485e-06
0.105, 0.012264775, 0.016265594, 1.500485e-06, 1.500485e-06
0.113, 0.027510373, 0.037296075, 1.500485e-06, 1.500485e-06
0.121, 0.020379994, 0.026497855, 1.500485e-06, 1.500485e-06
0.129, 0.017577387, 0.023222136, 1.500485e-06, 1.500485e-06
0.137, 0.029908017, 0.040356582, 1.5026286e-06, 1.5026286e-06
0.145, 0.0068258769, 0.0088642315, 1.5026286e-06, 1.5026286e-06
0.153, 0.030711863, 0.04104766, 1.5026286e-06, 1.5026286e-06
0.161, 0.007010048, 0.0084505191, 1.5026286e-06, 1.5026286e-06
0.169, 0.028749895, 0.038710339, 1.5026286e-06, 1.5026286e-06
0.177, 0.016325726, 0.021931981, 1.5026286e-06, 1.5026286e-06
0.185, 0.021341198, 0.028093002, 1.5026286e-06, 1.5026286e-06
0.193, 0.022293869, 0.030610573, 1.5047783e-06, 1.5047783e-06
0.201, 0.012139136, 0.016259191, 1.5047783e-06, 1.5047783e-06
0.209, 0.030345708, 0.04190819, 1.5047783e-06, 1.5047783e-06
0.217, 0.0012410947, 0.0011352922, 1.5026286e-06, 1.5026286e-06
0.225, 0.028756426, 0.038268965, 1.5047783e-06, 1.5047783e-06
0.233, 0.010528459, 0.013467835, 1.5047783e-06, 1.5047783e-06
0.241, 0.023295032, 0.03000023, 1.5047783e-06, 1.5047783e-06
0.249, 0.0191986, 0.02869925, 1.5047783e-06, 1.5069341e-06
0.257, 0.013855025, 0.019479083, 1.5047783e-06, 1.5069341e-06
0.265, 0.025266068, 0.034931003, 1.5069341e-06, 1.5069341e-06
0.273, 0.0068420492, 0.0085375255, 1.5069341e-06, 1.5069341e-06
0.281, 0.028571301, 0.038162102, 1.5069341e-06, 1.5069341e-06
0.289, 0.005339644, 0.0086473046, 1.5069341e-06, 1.5090961e-06
0.297, 0.024604229, 0.030189242, 1.5069341e-06, 1.5069341e-06
0.305, 0.014754836, 0.020563804, 1.5069341e-06, 1.5090961e-06
0.313, 0.017971077, 0.02233375, 1.5069341e-06, 1.5090961e-06
0.321, 0.025036494, 0.034696978, 1.5090961e-06, 1.5090961e-06
0.329, 0.0079359714, 0.0097887148, 1.5090961e-06, 1.5090961e-06
0.337, 0.027693474, 0.034340256, 1.5090961e-06, 1.5090961e-06
